date,time,temperature_fahrenheit,dew_point_fahrenheit,humidity_percentage,wind,wind_speed_mph,wind_gust_mph,pressure_in,precipitation_in,condition
01/01/2022,00:00:00,84.90744935676021,41.86820985356035,55,S,0.4886035998780458,7.146418383512807,29.953809090307878,0.7189696992534806,Thunder
01/01/2022,00:30:00,62.94346037370635,59.62979496695134,94,S,3.2154681247617454,6.351696579824509,29.943049728921526,0.5093112951943354,Fog
01/01/2022,01:00:00,68.7538281949176,40.253662674279774,85,S,0.3372062611918747,2.462958217377888,29.95550186193666,0.059747172380794744,Thunder
01/01/2022,01:30:00,61.7624740349183,53.8235930436318,92,NE,7.385244961862679,13.086068491481601,29.987200210615285,0.08862446056565165,T-Storm
01/01/2022,02:00:00,71.99229725088072,57.450324305409886,55,S,8.521221312733276,10.42021667769843,30.026532981029575,0.7187769456168612,Fog
01/01/2022,02:30:00,68.1800860154004,66.05433712052536,100,N,5.767240397403285,12.833050308336777,29.97951441415057,0.30759816643995874,Thunder
01/01/2022,03:00:00,51.737933846418386,65.06171695327943,69,NW,3.6351793355406525,4.4337425151724785,30.014028167539873,0.8482099804486877,Fog
01/01/2022,03:30:00,59.24343916260758,45.733490388705995,93,S,1.338046180598882,11.36852306773755,29.985748973722327,0.25368647802106814,Haze / Windy
01/01/2022,04:00:00,71.14351922979239,66.55376647753792,96,N,1.9650853679618385,0.8068202379303996,29.95695385148758,0.6481796047734438,Rain / Windy
01/01/2022,04:30:00,82.66878767359978,59.52853174811378,71,SE,6.124415378127103,14.73243213946541,30.088061588645935,0.1143707092202686,Snow
01/01/2022,05:00:00,88.7007319216955,40.39688218975258,88,NW,7.961459172056054,14.180872930978596,29.9044546417841,0.2650056456134988,T-Storm
01/01/2022,05:30:00,85.45946260490952,40.78854000832093,70,SW,5.056392014651216,11.20707952721582,29.91991447808307,0.4900017887841551,Drizzle
01/01/2022,06:00:00,80.21559887123003,67.03880428586604,52,S,8.006922004535513,13.535058174887178,29.945616547161787,0.7224010018456798,Haze / Windy
01/01/2022,06:30:00,82.0586604466038,40.04994658721227,86,N,9.208829192158275,8.994758792398232,30.075143720644316,0.15677928981612643,T-Storm / Windy
01/01/2022,07:00:00,57.94741222054542,59.48737150344826,90,N,1.292048351051046,7.865185508577833,30.099898516220733,0.4015855049769863,T-Storm
01/01/2022,07:30:00,77.4087933603728,45.72380017218895,63,SW,1.0071534188322184,12.95373759734682,30.059010856605898,0.031177033659454456,Haze / Windy
01/01/2022,08:00:00,70.40782076208212,54.82065079425245,51,N,0.6232836393490282,1.2172959900176583,29.904691387182755,0.7024197311117256,Snow
01/01/2022,08:30:00,83.46554525917283,40.81338756116433,100,CALM,8.878911076362307,4.2064854824950615,29.96751161655246,0.678711894558775,Rain / Windy
01/01/2022,09:00:00,80.76603951855783,56.54349030573537,91,SW,1.9656235671259636,6.303994749598475,29.952735188137233,0.28411118523184675,Haze / Windy
01/01/2022,09:30:00,82.94672098129499,50.16420800142956,76,NE,2.4964755785800152,2.770221955133917,30.062206339411347,0.12977627917276824,T-Storm / Windy
01/01/2022,10:00:00,70.79344959736699,56.651442111991045,50,S,0.46458248479712916,9.15878871403915,29.91154769862848,0.4509599716838609,Haze / Windy
01/01/2022,10:30:00,66.19738852558719,59.35921904126871,92,SW,8.950804282517035,8.427683537194843,30.031046415322677,0.9406301938964441,Snow
01/01/2022,11:00:00,83.45843163259522,53.09225381869096,75,E,5.217668240560588,0.13559334408479007,29.92506926522581,0.6288317214779298,T-Storm
01/01/2022,11:30:00,80.82913606232893,60.95646888292648,53,E,8.263684158853696,9.892785818262665,30.01409666338748,0.09595179912067409,T-Storm / Windy
01/01/2022,12:00:00,64.28175668512134,63.19525629909968,90,W,0.3277546666830766,10.798230296199373,30.004825637198866,0.9567786352979653,Haze / Windy
01/01/2022,12:30:00,79.83667515253123,47.49646600191763,71,NW,6.830603538872974,11.07342671161721,30.01179380277411,0.3871781763726664,Drizzle
01/01/2022,13:00:00,52.08097416006589,43.074349867348275,53,N,7.153078955467684,11.748665776336303,30.066141074880882,0.7401907587959721,Haze / Windy
01/01/2022,13:30:00,54.63538640274934,46.51754047610128,52,SW,2.5812805088885096,9.31156632597568,29.913983791999275,0.6812655032403961,Cloudy
01/01/2022,14:00:00,65.951301953752,69.82811216586111,73,N,4.305733999333421,0.9815022954358882,30.082535821672014,0.22200659617291707,Clear
01/01/2022,14:30:00,71.67699188192015,46.89258443576276,75,W,1.2493169923553415,3.9084843569682444,29.928519433677216,0.4776140495135355,T-Storm
01/01/2022,15:00:00,89.19233435961928,53.070412281597214,78,N,9.926108018555107,10.991008556754277,30.08844573120101,0.6710963056176437,Haze / Windy
01/01/2022,15:30:00,60.14425005917303,66.14360812343266,91,E,8.90653821309897,6.033629874921832,30.069985926841586,0.7244066215442675,Rain / Windy
01/01/2022,16:00:00,75.03545132540202,64.2113707065158,88,SW,3.4353498025135765,7.101616300572803,30.04640773947507,0.15900165428748259,T-Storm
01/01/2022,16:30:00,78.09896057653644,57.889780230902566,88,N,2.5459778476845853,1.5009669404242758,30.08415178320491,0.8379032639634937,Thunder
01/01/2022,17:00:00,67.28356470408173,46.82603812341617,88,E,5.019811694307731,9.626179552400204,29.9599534796241,0.583251897379406,Clear
01/01/2022,17:30:00,74.84397741365576,52.48650984144512,65,NE,3.9716162772805874,0.8608393063034558,30.07139549899308,0.770138966961252,Rain / Windy
01/01/2022,18:00:00,74.47675583655442,65.26743312205548,66,S,9.630492621660546,11.763550466610388,30.07697531068225,0.9070073634861127,T-Storm
01/01/2022,18:30:00,64.48902978104043,65.3281469474129,59,NW,9.662202861266055,5.79114399486331,29.986871836757427,0.7345701339497811,Thunder
01/01/2022,19:00:00,66.33018918665957,63.91023463523534,62,SW,6.150584263740858,2.352142025422708,29.970318601823063,0.3612976387706819,T-Storm / Windy
